state,date_s,date_e,pop_size,sample_size,pos_count,prev_est,prev_lb,prev_ub,date
GA,2020-09-23,2020-10-07,10297484,979,101.816,0.104,0.0768,0.131,2020-09-30
HI,2020-09-22,2020-10-08,1422029,575,9.775,0.017,0.001,0.105,2020-09-30
IA,2020-09-23,2020-10-07,3132499,941,78.103,0.083,0.0633,0.1036,2020-09-30
ID,2020-09-23,2020-10-07,1687809,977,47.873,0.049,0.0273,0.0717,2020-09-30
IL,2020-09-23,2020-10-01,12821497,923,49.842,0.054,0.0381,0.0718,2020-09-27
IN,2020-09-21,2020-10-07,6637426,1011,60.66,0.06,0.0214,0.1202,2020-09-29
KS,2020-09-22,2020-10-08,2908776,936,46.8,0.05,0.0353,0.0672,2020-09-30
KY,2020-09-23,2020-10-06,4440204,978,22.494,0.023,0.0129,0.0346,2020-09-29
LA,2020-09-23,2020-10-06,4663616,977,117.24,0.12,0.0963,0.1445,2020-09-29
MA,2020-09-25,2020-10-01,6830193,988,27.664,0.028,0.0176,0.0404,2020-09-28
MD,2020-09-21,2020-10-05,6003435,1058,104.742,0.099,0.078,0.122,2020-09-28
ME,2020-09-25,2020-10-08,1332813,911,4.555,0.005,8e-04,0.0116,2020-10-01
MI,2020-09-22,2020-10-02,9957488,979,33.286,0.034,0.0233,0.0448,2020-09-27
MN,2020-09-23,2020-10-06,5527358,980,43.12,0.044,0.0292,0.0595,2020-09-29
MO,2020-09-21,2020-10-02,6090062,965,56.935,0.059,0.0419,0.0812,2020-09-27
MS,2020-09-23,2020-10-06,2988762,984,54.12,0.055,0.0382,0.0731,2020-09-29
MT,2020-09-23,2020-10-08,1041732,706,19.062,0.027,0.006,0.0652,2020-10-01
NC,2020-09-23,2020-10-02,10155624,932,62.444,0.067,0.0474,0.0889,2020-09-27
ND,2020-09-23,2020-10-05,752201,61,473.97,7.77,,,2020-09-29
NE,2020-09-23,2020-10-07,1904760,927,92.7,0.1,0.0716,0.1288,2020-09-30
NH,2020-09-25,2020-10-01,1343622,957,9.57,0.01,0.0028,0.0223,2020-09-28
NJ,2020-09-21,2020-10-07,8881845,958,153.28,0.16,0.1357,0.1874,2020-09-29
NM,2020-09-23,2020-10-06,2092434,979,35.244,0.036,0.0229,0.0507,2020-09-29
NV,2020-09-23,2020-09-26,2922849,980,76.44,0.078,0.0585,0.0994,2020-09-25
NY,2020-09-20,2020-10-07,19618453,822,187.416,0.228,0.192,0.2654,2020-09-28
OH,2020-09-23,2020-10-08,11641879,976,23.424,0.024,0.0126,0.0364,2020-10-01
OK,2020-09-23,2020-09-29,3918137,979,54.824,0.056,0.0378,0.0736,2020-09-26
OR,2020-09-20,2020-10-07,4081943,972,24.3,0.025,0.0057,0.0568,2020-09-28
PA,2020-09-20,2020-10-05,12791181,1255,134.285,0.107,0.0817,0.1378,2020-09-28
